"","Team","PF","TotalYards","Off. Plays","Yds/Play","TO","FL","Total1stD","Cmp","Att","PassYds(Sacks Reduce Net Yds)","PTDs","Int","Yds/Att","Pass1stDowns","RushAtt","RushYds","RushTDs","Yds/RushAtt","Rush1stDowns","Penalties","PenYds","Year","Wins","Losses","Ties"
"1","Team Stats","306","5239","1009","5.2","22","12","303","292","487","3063","20","10","5.7","165","470","2176","10","4.6","104","116","937",2014,8,8,0
"3","Team Stats","406","5180","961","5.4","18","10","286","244","417","2979","21","8","6.5","148","505","2201","18","4.4","115","103","845",2013,12,4,0
"5","Team Stats","397","5789","969","6.0","16","8","322","289","436","3298","23","8","6.9","172","492","2491","17","5.1","128","109","960",2012,11,4,1
"7","Team Stats","380","4974","993","5.0","10","5","282","277","451","2930","18","5","5.9","150","498","2044","14","4.1","101","113","1014",2011,13,3,0
"9","Team Stats","305","5013","945","5.3","23","8","251","282","500","3356","19","15","6.2","149","401","1657","10","4.1","85","112","933",2010,6,10,0
"11","Team Stats","330","4652","939","5.0","24","10","238","312","528","3052","23","14","5.4","137","371","1600","12","4.3","77","98","758",2009,8,8,0
"13","Team Stats","339","4978","961","5.2","35","16","287","309","509","3379","21","19","6.0","176","397","1599","10","4.0","83","98","732",2008,7,9,0
"15","Team Stats","219","3797","925","4.1","34","17","218","274","513","2320","15","17","4.1","140","357","1477","8","4.1","65","97","702",2007,5,11,0
"17","Team Stats","298","4857","918","5.3","32","16","243","257","444","2685","16","16","5.6","132","438","2172","12","5.0","97","93","818",2006,7,9,0
"19","Team Stats","239","3587","865","4.1","35","14","191","204","389","1898","8","21","4.3","96","428","1689","9","3.9","70","106","780",2005,4,12,0
"21","Team Stats","259","4585","1026","4.5","40","19","280","325","561","3136","16","21","5.1","172","413","1449","10","3.5","83","103","859",2004,2,14,0
"23","Team Stats","384","5687","1038","5.5","25","10","313","299","511","3408","25","15","6.3","172","499","2279","16","4.6","118","104","807",2003,7,9,0
"25","Team Stats","367","5701","1082","5.3","17","7","342","354","571","3457","23","10","5.8","182","489","2244","16","4.6","141","87","725",2002,10,6,0
"27","Team Stats","409","5689","1041","5.5","19","7","328","318","506","3445","32","12","6.5","184","509","2244","16","4.4","121","82","669",2001,12,4,0
"29","Team Stats","388","6040","1024","5.9","19","9","334","366","583","4239","32","10","7.0","211","416","1801","15","4.3","98","134","1135",2000,6,10,0
"31","Team Stats","295","5380","1012","5.3","32","13","300","324","560","3285","14","19","5.5","172","418","2095","14","5.0","102","120","1045",1999,4,12,0
"33","Team Stats","479","6800","1100","6.2","30","15","381","347","556","4256","41","15","7.0","223","491","2544","19","5.2","129","133","1156",1998,12,4,0
"35","Team Stats","375","5112","999","5.1","20","9","294","278","432","3143","20","11","6.6","167","523","1969","16","3.8","106","115","979",1997,13,3,0
"37","Team Stats","398","5506","1046","5.3","24","8","315","358","550","3659","24","16","6.2","188","454","1847","17","4.1","108","119","925",1996,12,4,0
"39","Team Stats","457","6087","1092","5.6","28","12","355","432","644","4608","29","16","6.8","231","415","1479","19","3.6","109","88","711",1995,11,5,0
